date,Volume,Open,High,Low,Close
2025-01-02,22649670,22.99,23.26,22.96,23.15
2025-01-03,17036537,22.93,23.06,22.87,22.96
2025-01-06,40861880,22.66,22.69,22.35,22.35
2025-01-07,22035812,22.05,22.18,22.02,22.17
2025-01-08,16810854,22.34,22.46,22.27,22.43
2025-01-09,17200747,22.53,22.77,22.49,22.77
2025-01-10,14242410,22.81,22.91,22.73,22.82
2025-01-13,33133129,22.9,23.42,22.9,23.35
2025-01-14,38047811,23.25,23.36,23.17,23.2
2025-01-15,15620684,23.17,23.4,23.17,23.37
2025-01-16,29222714,22.95,22.97,22.76,22.93
2025-01-17,16478369,22.78,22.99,22.76,22.82
2025-01-20,34254208,22.71,22.71,22.53,22.6
2025-01-21,7365669,22.67,22.73,22.54,22.55
2025-01-22,20199392,22.37,22.39,22.25,22.27
2025-02-03,51396127,23.12,23.29,23.08,23.24
2025-02-04,17246910,23.02,23.17,22.97,23.15
2025-02-05,23706119,22.81,22.81,22.63,22.71
2025-02-06,13823765,22.59,22.67,22.53,22.65
2025-02-07,21101386,22.61,22.63,22.48,22.49
2025-02-10,18705823,22.61,22.74,22.58,22.67
2025-02-11,14558631,22.52,22.61,22.43,22.56
2025-02-12,11804744,22.46,22.62,22.41,22.62
2025-02-13,9488278,22.59,22.65,22.52,22.54
2025-02-14,31837139,22.64,22.78,22.64,22.73
2025-02-17,31538414,22.62,22.62,22.43,22.45
2025-02-18,13430872,22.42,22.48,22.36,22.37
2025-02-19,12388856,22.38,22.39,22.31,22.35
2025-02-20,16847333,22.4,22.57,22.39,22.43
2025-02-21,26271406,22.45,22.47,22.24,22.26
2025-02-24,20130681,22.47,22.5,22.4,22.4
2025-02-25,32223513,22.66,22.79,22.62,22.65
2025-02-26,17663090,22.76,22.83,22.56,22.56
2025-02-27,17337005,22.55,22.79,22.53,22.77
2025-03-03,53503620,23.14,23.31,23.14,23.22
2025-03-04,36748744,23.63,23.65,23.3,23.36
2025-03-05,26775489,23.15,23.23,23.04,23.09
2025-03-06,14100278,23.05,23.26,23.05,23.2
2025-03-07,25196032,23.38,23.48,23.3,23.44
2025-03-10,17215526,23.44,23.66,23.43,23.53
2025-03-11,40090847,24.14,24.32,23.91,23.95
2025-03-12,25363635,23.9,23.94,23.65,23.86
2025-03-13,24779178,23.55,24.06,23.52,24.04
2025-03-14,36755207,24.0,24.14,23.96,24.04
2025-03-17,22748399,23.79,23.88,23.67,23.85
2025-03-18,13975340,23.68,23.8,23.62,23.71
2025-03-19,17143686,23.75,24.03,23.73,23.98
2025-03-20,26958657,23.75,23.76,23.55,23.58
2025-03-21,11293558,23.61,23.78,23.61,23.75
2025-03-24,11280442,23.59,23.84,23.58,23.82
2025-03-25,17616344,23.59,23.74,23.51,23.63
2025-03-26,10265622,23.58,23.7,23.53,23.62
2025-03-27,25960484,23.95,24.07,23.95,24.0
2025-03-28,42435193,24.22,24.52,24.21,24.4
2025-03-31,79952368,25.14,25.38,25.0,25.33
2025-04-01,73736693,25.13,25.19,24.75,24.8
2025-04-02,31557437,24.76,24.85,24.65,24.76
2025-04-07,14763155,27.23,27.23,27.23,27.23
2025-04-08,288085226,27.79,28.33,27.39,27.91
2025-04-09,197814737,28.25,29.72,27.94,29.58
2025-04-10,11304675,26.63,26.63,26.63,26.63
2025-04-11,185858054,27.17,27.58,25.72,25.72
2025-04-14,111206123,25.29,25.84,25.13,25.83
2025-04-15,59281277,25.63,25.76,25.4,25.42
2025-04-16,68170059,25.66,25.94,25.61,25.94
2025-04-17,74416100,26.0,26.27,25.86,25.98
